NOME;NOME FANTASIA;CNPJ;ESTADO;ANO;Relatório;ESCOPO;Categoria;Emissões (tCO2e);Emissões de CO2 biogênico (t);Remoções de CO2 biogênico (t);Gás
Alcoa Alumínio S.A.;Alcoa;23.637.697/0135-13;SP;2023;Controle Operacional; Escopo 1;Combustão móvel;77112,79;9181,25;0,00;
Alcoa Alumínio S.A.;Alcoa;23.637.697/0135-13;SP;2023;Controle Operacional; Escopo 1;Combustão estacionária;2044211,77;4381,29;0,00;
Alcoa Alumínio S.A.;Alcoa;23.637.697/0135-13;SP;2023;Controle Operacional; Escopo 1;Processos industriais;576108,89;0,00;0,00;
Alcoa Alumínio S.A.;Alcoa;23.637.697/0135-13;SP;2023;Controle Operacional; Escopo 1;Resíduos sólidos e efluentes líquidos;72149,06;0,00;0,00;
Alcoa Alumínio S.A.;Alcoa;23.637.697/0135-13;SP;2023;Controle Operacional; Escopo 1;Fugitivas;1551,59;0,00;0,00;
Alcoa Alumínio S.A.;Alcoa;23.637.697/0135-13;SP;2023;Controle Operacional; Escopo 1;Atividades agrícolas;114,33;0,00;0,00;
Alcoa Alumínio S.A.;Alcoa;23.637.697/0135-13;SP;2023;Controle Operacional; Escopo 1;Mudanças no uso do solo;360352,35;13971,94;15427,59;
Alcoa Alumínio S.A.;Alcoa;23.637.697/0135-13;SP;2023;Controle Operacional; Escopo 2;Aquisição de energia elétrica - Abordagem baseada na localização;192884,51;0,00;0,00;
Alcoa Alumínio S.A.;Alcoa;23.637.697/0135-13;SP;2023;Controle Operacional; Escopo 2;Aquisição de energia elétrica - Abordagem baseada na escolha de compra;73132,28;0,00;0,00;
Alcoa Alumínio S.A.;Alcoa;23.637.697/0135-13;SP;2023;Participação Societária; Escopo 1;Combustão móvel;47300,11;5615,51;0,00;
Alcoa Alumínio S.A.;Alcoa;23.637.697/0135-13;SP;2023;Participação Societária; Escopo 1;Combustão estacionária;1182879,34;2624,02;0,00;
Alcoa Alumínio S.A.;Alcoa;23.637.697/0135-13;SP;2023;Participação Societária; Escopo 1;Processos industriais;328209,23;0,00;0,00;
Alcoa Alumínio S.A.;Alcoa;23.637.697/0135-13;SP;2023;Participação Societária; Escopo 1;Resíduos sólidos e efluentes líquidos;41209,93;0,00;0,00;
Alcoa Alumínio S.A.;Alcoa;23.637.697/0135-13;SP;2023;Participação Societária; Escopo 1;Fugitivas;1021,65;0,00;0,00;
Alcoa Alumínio S.A.;Alcoa;23.637.697/0135-13;SP;2023;Participação Societária; Escopo 1;Atividades agrícolas;114,33;0,00;0,00;
Alcoa Alumínio S.A.;Alcoa;23.637.697/0135-13;SP;2023;Participação Societária; Escopo 1;Mudanças no uso do solo;214737,88;13970,72;9243,85;
Alcoa Alumínio S.A.;Alcoa;23.637.697/0135-13;SP;2023;Participação Societária; Escopo 2;Aquisição de energia elétrica - Abordagem baseada na localização;115265,76;0,00;0,00;
Alcoa Alumínio S.A.;Alcoa;23.637.697/0135-13;SP;2023;Participação Societária; Escopo 2;Aquisição de energia elétrica - Abordagem baseada na escolha de compra;41663,46;0,00;0,00;
Alcoa Alumínio S.A. São Paulo;Alcoa São Paulo;48.879.175/0001-47;SP;2023;Controle Operacional;Escopo 1;Fugitivas;0,01;0,00;0,00;
Alcoa Alumínio S.A. São Paulo;Alcoa São Paulo;48.879.175/0001-47;SP;2023;Controle Operacional;Escopo 2;Aquisição de energia elétrica - Abordagem baseada na localização;2,11;0,00;0,00;
Alcoa Alumínio S.A. São Paulo;Alcoa São Paulo;48.879.175/0001-47;SP;2023;Participação Societária;Escopo 1;Fugitivas;0,01;0,00;0,00;
Alcoa Alumínio S.A. São Paulo;Alcoa São Paulo;48.879.175/0001-47;SP;2023;Participação Societária;Escopo 2;Aquisição de energia elétrica - Abordagem baseada na localização;2,11;0,00;0,00;
Alcoa World Alumina Brasil Ltda.;Alcoa Juruti;06.167.730/0005-91;PA;2023;Controle Operacional;Escopo 1;Combustão móvel;62388,49;7407,09;0,00;
Alcoa World Alumina Brasil Ltda.;Alcoa Juruti;06.167.730/0005-91;PA;2023;Controle Operacional;Escopo 1;Combustão estacionária;34953,32;4224,48;0,00;
Alcoa World Alumina Brasil Ltda.;Alcoa Juruti;06.167.730/0005-91;PA;2023;Controle Operacional;Escopo 1;Resíduos sólidos e efluentes líquidos;102,95;0,00;0,00;
Alcoa World Alumina Brasil Ltda.;Alcoa Juruti;06.167.730/0005-91;PA;2023;Controle Operacional;Escopo 1;Fugitivas;18,13;0,00;0,00;
Alcoa World Alumina Brasil Ltda.;Alcoa Juruti;06.167.730/0005-91;PA;2023;Controle Operacional;Escopo 1;Mudanças no uso do solo;302523,85;0,00;14899,31;
Alcoa World Alumina Brasil Ltda.;Alcoa Juruti;06.167.730/0005-91;PA;2023;Participação Societária;Escopo 1;Combustão móvel;62388,49;7407,09;0,00;
Alcoa World Alumina Brasil Ltda.;Alcoa Juruti;06.167.730/0005-91;PA;2023;Participação Societária;Escopo 1;Combustão estacionária;34953,32;4224,48;0,00;
Alcoa World Alumina Brasil Ltda.;Alcoa Juruti;06.167.730/0005-91;PA;2023;Participação Societária;Escopo 1;Resíduos sólidos e efluentes líquidos;102,95;0,00;0,00;
Alcoa World Alumina Brasil Ltda.;Alcoa Juruti;06.167.730/0005-91;PA;2023;Participação Societária;Escopo 1;Fugitivas;18,13;0,00;0,00;
Alcoa World Alumina Brasil Ltda.;Alcoa Juruti;06.167.730/0005-91;PA;2023;Participação Societária;Escopo 1;Mudanças no uso do solo;302523,85;0,00;14899,31;
Consórcio de Alumínio do Maranhão;Consórcio Alumar;00.655.209/0001-93;PA;2023;Controle Operacional;Escopo 1;Combustão móvel;11286,88;1400,99;0,00;
Consórcio de Alumínio do Maranhão;Consórcio Alumar;00.655.209/0001-93;MA;2023;Controle Operacional;Escopo 1;Combustão estacionária;1969191,46;156,81;0,00;
Consórcio de Alumínio do Maranhão;Consórcio Alumar;00.655.209/0001-93;MA;2023;Controle Operacional;Escopo 1;Processos industriais;576108,89;0,00;0,00;
Consórcio de Alumínio do Maranhão;Consórcio Alumar;00.655.209/0001-93;MA;2023;Controle Operacional;Escopo 1;Resíduos sólidos e efluentes líquidos;71805,48;0,00;0,00;
Consórcio de Alumínio do Maranhão;Consórcio Alumar;00.655.209/0001-93;MA;2023;Controle Operacional;Escopo 1;Fugitivas;1214,55;0,00;0,00;
Consórcio de Alumínio do Maranhão;Consórcio Alumar;00.655.209/0001-93;MA;2023;Controle Operacional;Escopo 1;Mudanças no uso do solo;57180,86;0,00;520,58;
Consórcio de Alumínio do Maranhão;Consórcio Alumar;00.655.209/0001-93;MA;2023;Controle Operacional;Escopo 2;Aquisição de energia elétrica - Abordagem baseada na localização;180377,05;0,00;0,00;
Consórcio de Alumínio do Maranhão;Consórcio Alumar;00.655.209/0001-93;MA;2023;Controle Operacional;Escopo 2;Aquisição de energia elétrica - Abordagem baseada na escolha de compra;73132,28;0,00;0,00;
