NOME;NOME FANTASIA;CNPJ;ANO;Relatório;ESCOPO;Categoria;Emissões (tCO2e);Emissões de CO2 biogênico (t);Remoções de CO2 biogênico (t)
Alcoa Alumínio S.A.;Alcoa;23.637.697/0135-13;2023;Controle Operacional; Escopo 1;Combustão móvel;77112,788;9181,248;0,000
Alcoa Alumínio S.A.;Alcoa;23.637.697/0135-13;2023;Controle Operacional; Escopo 1;Combustão estacionária;2044211,766;4381,290;0,000
Alcoa Alumínio S.A.;Alcoa;23.637.697/0135-13;2023;Controle Operacional; Escopo 1;Processos industriais;576108,888;0,000;0,000
Alcoa Alumínio S.A.;Alcoa;23.637.697/0135-13;2023;Controle Operacional; Escopo 1;Resíduos sólidos e efluentes líquidos;72149,057;0,000;0,000
Alcoa Alumínio S.A.;Alcoa;23.637.697/0135-13;2023;Controle Operacional; Escopo 1;Fugitivas;1551,587;0,000;0,000
Alcoa Alumínio S.A.;Alcoa;23.637.697/0135-13;2023;Controle Operacional; Escopo 1;Atividades agrícolas;114,331;0,000;0,000
Alcoa Alumínio S.A.;Alcoa;23.637.697/0135-13;2023;Controle Operacional; Escopo 1;Mudanças no uso do solo;360352,351;13971,939;15427,585
Alcoa Alumínio S.A.;Alcoa;23.637.697/0135-13;2023;Controle Operacional; Escopo 2;Aquisição de energia elétrica - Abordagem baseada na localização;192.884,508;0,000;0,000
Alcoa Alumínio S.A.;Alcoa;23.637.697/0135-13;2023;Controle Operacional; Escopo 2;Aquisição de energia elétrica - Abordagem baseada na escolha de compra;73.132,281;0,000;0,000
Alcoa Alumínio S.A.;Alcoa;23.637.697/0135-13;2023;Controle Operacional;Escopo 3;"3. Atividades relacionadas com
combustível e energia não inclusas
nos Escopos 1 e 2";493704,946;0,000;0,000
Alcoa Alumínio S.A.;Alcoa;23.637.697/0135-13;2023;Controle Operacional;Escopo 3;"4. Transporte e distribuição
(upstream)";288249,090;7571,433;0,000
Alcoa Alumínio S.A.;Alcoa;23.637.697/0135-13;2023;Controle Operacional;Escopo 3;5. Resíduos gerados nas operações;274,375;197,281;0,000
Alcoa Alumínio S.A.;Alcoa;23.637.697/0135-13;2023;Controle Operacional;Escopo 3;6. Viagens a negócios;825,650;0,000;0,000
Alcoa Alumínio S.A.;Alcoa;23.637.697/0135-13;2023;Controle Operacional;Escopo 3;7. Emissões de funcionários (casa-trabalho);1907,103;257,304;0,000
Alcoa Alumínio S.A.;Alcoa;23.637.697/0135-13;2023;Controle Operacional;Escopo 3;"9. Transporte e distribuição
(downstream)";31217,027;1091,404;0,000
Alcoa Alumínio S.A.;Alcoa;23.637.697/0135-13;2023;Controle Operacional;Escopo 3;Gás de efeito estufa não contemplados pelo Protocolo de Quioto: HCFC-22 ;1446,544;0,000;0,000
Alcoa Alumínio S.A.;Alcoa;23.637.697/0135-13;2023;Participação Societária; Escopo 1;Combustão móvel;47300,113;5615,511;0,000
Alcoa Alumínio S.A.;Alcoa;23.637.697/0135-13;2023;Participação Societária; Escopo 1;Combustão estacionária;1182879,343;2624,023;0,000
Alcoa Alumínio S.A.;Alcoa;23.637.697/0135-13;2023;Participação Societária; Escopo 1;Processos industriais;328209,233;0,000;0,000
Alcoa Alumínio S.A.;Alcoa;23.637.697/0135-13;2023;Participação Societária; Escopo 1;Resíduos sólidos e efluentes líquidos;41209,930;0,000;0,000
Alcoa Alumínio S.A.;Alcoa;23.637.697/0135-13;2023;Participação Societária; Escopo 1;Fugitivas;1021,648;0,000;0,000
Alcoa Alumínio S.A.;Alcoa;23.637.697/0135-13;2023;Participação Societária; Escopo 1;Atividades agrícolas;114,331;0,000;0,000
Alcoa Alumínio S.A.;Alcoa;23.637.697/0135-13;2023;Participação Societária; Escopo 1;Mudanças no uso do solo;214737,884;13970,721;9243,854
Alcoa Alumínio S.A.;Alcoa;23.637.697/0135-13;2023;Participação Societária; Escopo 2;Aquisição de energia elétrica - Abordagem baseada na localização;115265,764;0,000;0,000
Alcoa Alumínio S.A.;Alcoa;23.637.697/0135-13;2023;Participação Societária; Escopo 2;Aquisição de energia elétrica - Abordagem baseada na escolha de compra;41663,460;0,000;0,000
Alcoa Alumínio S.A.;Alcoa;23.637.697/0135-13;2023;Participação Societária;Escopo 3;"3. Atividades relacionadas com
combustível e energia não inclusas
nos Escopos 1 e 2";286831,257;0,000;0,000
Alcoa Alumínio S.A.;Alcoa;23.637.697/0135-13;2023;Participação Societária;Escopo 3;"4. Transporte e distribuição
(upstream)";167478,288;4703,055;0,000
