NOME;CNPJ;ANO;Relatório;GEE;Escopo 1;Escopo 2 - Baseada na localização;Escopo 2 - Baseada na escolha de compra;EQ Escopo 1;EQ Escopo 2 - Baseada na localização;EQ Escopo 2 - Baseada na escolha de compra;EQ Escopo 3;Unidade
Alcoa;123456789;2023;Controle Operacional;CO2;88551.406152;0.0;0.0;88551.406152;0.0;0.0;0;0
Alcoa;123456789;2023;Controle Operacional;CH4;3.766864;0.0;0.0;105.472192;0.0;0.0;0;0
Alcoa;123456789;2023;Controle Operacional;N2O;0.710353;0.0;0.0;188.243545;0.0;0.0;0;0
Alcoa;123456789;2023;Controle Operacional;HFC;0.0;0.0;0.0;0.0;0.0;0.0;0;0
Alcoa;123456789;2023;Controle Operacional;PFC;0.0;0.0;0.0;0.0;0.0;0.0;0;0
Alcoa;123456789;2023;Controle Operacional;SF6;0.0;0.0;0.0;0.0;0.0;0.0;0;0
Alcoa;123456789;2023;Controle Operacional;NF3;0.0;0.0;0.0;0.0;0.0;0.0;0;0
Alcoa;123456789;2019;Controle Operacional;CO2;88551.406152;0.0;0.0;88551.406152;0.0;0.0;0;0
Alcoa;123456789;2019;Controle Operacional;CH4;3.766864;0.0;0.0;105.472192;0.0;0.0;0;0
Alcoa;123456789;2019;Controle Operacional;N2O;0.710353;0.0;0.0;188.243545;0.0;0.0;0;0
Alcoa;123456789;2019;Controle Operacional;HFC;0.0;0.0;0.0;0.0;0.0;0.0;0;0
Alcoa;123456789;2019;Controle Operacional;PFC;0.0;0.0;0.0;0.0;0.0;0.0;0;0
Alcoa;123456789;2019;Controle Operacional;SF6;0.0;0.0;0.0;0.0;0.0;0.0;0;0
Alcoa;123456789;2019;Controle Operacional;NF3;0.0;0.0;0.0;0.0;0.0;0.0;0;0
Alcoa;123456789;2020;Controle Operacional;CO2;88551.406152;0.0;0.0;88551.406152;0.0;0.0;0;0
Alcoa;123456789;2020;Controle Operacional;CH4;3.766864;0.0;0.0;105.472192;0.0;0.0;0;0
Alcoa;123456789;2020;Controle Operacional;N2O;0.710353;0.0;0.0;188.243545;0.0;0.0;0;0
Alcoa;123456789;2020;Controle Operacional;HFC;0.0;0.0;0.0;0.0;0.0;0.0;0;0
Alcoa;123456789;2020;Controle Operacional;PFC;0.0;0.0;0.0;0.0;0.0;0.0;0;0
Alcoa;123456789;2020;Controle Operacional;SF6;0.0;0.0;0.0;0.0;0.0;0.0;0;0
Alcoa;123456789;2020;Controle Operacional;NF3;0.0;0.0;0.0;0.0;0.0;0.0;0;0
Alcoa;123456789;2021;Controle Operacional;CO2;88551.406152;0.0;0.0;88551.406152;0.0;0.0;0;0
Alcoa;123456789;2021;Controle Operacional;CH4;3.766864;0.0;0.0;105.472192;0.0;0.0;0;0
Alcoa;123456789;2021;Controle Operacional;N2O;0.710353;0.0;0.0;188.243545;0.0;0.0;0;0
Alcoa;123456789;2021;Controle Operacional;HFC;0.0;0.0;0.0;0.0;0.0;0.0;0;0
Alcoa;123456789;2021;Controle Operacional;PFC;0.0;0.0;0.0;0.0;0.0;0.0;0;0
Alcoa;123456789;2021;Controle Operacional;SF6;0.0;0.0;0.0;0.0;0.0;0.0;0;0
Alcoa;123456789;2021;Controle Operacional;NF3;0.0;0.0;0.0;0.0;0.0;0.0;0;0
Alcoa;123456789;2022;Controle Operacional;CO2;88551.406152;0.0;0.0;88551.406152;0.0;0.0;0;0
Alcoa;123456789;2022;Controle Operacional;CH4;3.766864;0.0;0.0;105.472192;0.0;0.0;0;0
Alcoa;123456789;2022;Controle Operacional;N2O;0.710353;0.0;0.0;188.243545;0.0;0.0;0;0
Alcoa;123456789;2022;Controle Operacional;HFC;0.0;0.0;0.0;0.0;0.0;0.0;0;0
Alcoa;123456789;2022;Controle Operacional;PFC;0.0;0.0;0.0;0.0;0.0;0.0;0;0
Alcoa;123456789;2022;Controle Operacional;SF6;0.0;0.0;0.0;0.0;0.0;0.0;0;0
Alcoa;123456789;2022;Controle Operacional;NF3;0.0;0.0;0.0;0.0;0.0;0.0;0;0
