Emissão/Remoção/Bunker;Gás;Setor de emissão;Categoria emissora;Sub-categoria emissora;Produto ou sistema;Detalhamento;Recorte;Atividade geral;Estado;Bioma;2019;2020;2021;2022;2023
Emissão;CO2e (t) GWP-AR6;Agropecuária;Cultivo de arroz;Cultivo em sistema irrigado inundado;Arroz;Vegetal;Diretas;Agricultura;Acre;Amazônia;0,00;0,00;0,00;0,00;0,00
Emissão;CO2e (t) GWP-AR6;Agropecuária;Cultivo de arroz;Cultivo em sistema irrigado inundado;Arroz;Vegetal;Diretas;Agricultura;Amapá;Amazônia;0,00;0,00;0,00;0,00;0,00
Emissão;CO2e (t) GWP-AR6;Agropecuária;Cultivo de arroz;Cultivo em sistema irrigado inundado;Arroz;Vegetal;Diretas;Agricultura;Amazonas;Amazônia;0,00;0,00;0,00;0,00;0,00
Emissão;CO2e (t) GWP-AR6;Agropecuária;Cultivo de arroz;Cultivo em sistema irrigado inundado;Arroz;Vegetal;Diretas;Agricultura;Maranhão;Amazônia;3548,80;3451,26;3130,47;3846,61;5095,98
Emissão;CO2e (t) GWP-AR6;Agropecuária;Cultivo de arroz;Cultivo em sistema irrigado inundado;Arroz;Vegetal;Diretas;Agricultura;Mato Grosso;Amazônia;17232,63;30956,44;39237,81;200661,39;0,00
Emissão;CO2e (t) GWP-AR6;Agropecuária;Cultivo de arroz;Cultivo em sistema irrigado inundado;Arroz;Vegetal;Diretas;Agricultura;Pará;Amazônia;0,00;0,00;0,00;0,00;31330,49
Emissão;CO2e (t) GWP-AR6;Agropecuária;Cultivo de arroz;Cultivo em sistema irrigado inundado;Arroz;Vegetal;Diretas;Agricultura;Rondônia;Amazônia;0,00;0,00;0,00;0,00;0,00
Emissão;CO2e (t) GWP-AR6;Agropecuária;Cultivo de arroz;Cultivo em sistema irrigado inundado;Arroz;Vegetal;Diretas;Agricultura;Roraima;Amazônia;59602,84;59679,25;59704,52;59700,22;89774,52
Emissão;CO2e (t) GWP-AR6;Agropecuária;Cultivo de arroz;Cultivo em sistema irrigado inundado;Arroz;Vegetal;Diretas;Agricultura;Tocantins;Amazônia;5348,88;5659,50;5804,82;6872,77;4230,52
Emissão;CO2e (t) GWP-AR6;Agropecuária;Cultivo de arroz;Cultivo em sistema irrigado inundado;Arroz;Vegetal;Diretas;Agricultura;Alagoas;Caatinga;9993,86;9192,81;12922,87;9423,12;7809,83
Emissão;CO2e (t) GWP-AR6;Agropecuária;Cultivo de arroz;Cultivo em sistema irrigado inundado;Arroz;Vegetal;Diretas;Agricultura;Bahia;Caatinga;0,00;0,00;0,00;0,00;0,00
Emissão;CO2e (t) GWP-AR6;Agropecuária;Cultivo de arroz;Cultivo em sistema irrigado inundado;Arroz;Vegetal;Diretas;Agricultura;Ceará;Caatinga;13711,06;13560,31;15839,04;13698,59;14843,25
Emissão;CO2e (t) GWP-AR6;Agropecuária;Cultivo de arroz;Cultivo em sistema irrigado inundado;Arroz;Vegetal;Diretas;Agricultura;Minas Gerais;Caatinga;126,75;169,35;176,07;202,77;271,92
Emissão;CO2e (t) GWP-AR6;Agropecuária;Cultivo de arroz;Cultivo em sistema irrigado inundado;Arroz;Vegetal;Diretas;Agricultura;Paraíba;Caatinga;0,00;0,00;0,00;478,66;0,00
