Emissão/Remoção/Bunker;Gás;Setor de emissão;Categoria emissora;Sub-categoria emissora;Produto ou sistema;Detalhamento;Recorte;Atividade geral;Estado;Bioma;2019;2020;2021;2022;2023
Emissão;CO2e (t) GWP-AR6;Processos Industriais;Produção de metais;Produção de alumínio;Tecnologia Prebaked Anode;Tecnologia Prebaked Anode;Emissão efetiva;Metalurgia;Maranhão;Amazônia;0,00;0,00;0,00;108470,66;433155,86
Emissão;CO2e (t) GWP-AR6;Processos Industriais;Produção de metais;Produção de alumínio;Tecnologia Prebaked Anode;Tecnologia Prebaked Anode;Emissão efetiva;Metalurgia;Pará;Amazônia;593408,99;688434,38;775646,96;736582,99;818344,79
Emissão;CO2e (t) GWP-AR6;Processos Industriais;Produção de metais;Produção de alumínio;Tecnologia Prebaked Anode;Tecnologia Prebaked Anode;Emissão efetiva;Metalurgia;Rio de Janeiro;Mata Atlântica;0,00;0,00;0,00;0,00;0,00
Emissão;CO2e (t) GWP-AR6;Processos Industriais;Produção de metais;Produção de alumínio;Tecnologia Soderberg;Tecnologia Soderberg;Emissão efetiva;Metalurgia;Bahia;Mata Atlântica;0,00;0,00;0,00;0,00;0,00
Emissão;CO2e (t) GWP-AR6;Processos Industriais;Produção de metais;Produção de alumínio;Tecnologia Soderberg;Tecnologia Soderberg;Emissão efetiva;Metalurgia;Minas Gerais;Mata Atlântica;0,00;0,00;0,00;0,00;0,00
Emissão;CO2e (t) GWP-AR6;Processos Industriais;Produção de metais;Produção de alumínio;Tecnologia Soderberg;Tecnologia Soderberg;Emissão efetiva;Metalurgia;São Paulo;Mata Atlântica;773822,73;732214,22;824518,16;827148,59;796061,77
Emissão;CO2e (t) GWP-AR6;Processos Industriais;Produção de metais;Produção de ferro gusa e aço;Consumo de combustíveis redutores;Ferro e aço;Emissão efetiva;Metalurgia;Mato Grosso do Sul;Cerrado;0,00;0,00;0,00;0,00;0,00
Emissão;CO2e (t) GWP-AR6;Processos Industriais;Produção de metais;Produção de ferro gusa e aço;Consumo de combustíveis redutores;Ferro e aço;Emissão efetiva;Metalurgia;Espírito Santo;Mata Atlântica;10950472,58;10562470,33;12127928,29;11461532,74;10769247,96
Emissão;CO2e (t) GWP-AR6;Processos Industriais;Produção de metais;Produção de ferro gusa e aço;Consumo de combustíveis redutores;Ferro e aço;Emissão efetiva;Metalurgia;Minas Gerais;Mata Atlântica;8812530,26;8080328,20;7465719,97;6663042,00;5732893,15
Emissão;CO2e (t) GWP-AR6;Processos Industriais;Produção de metais;Produção de ferro gusa e aço;Consumo de combustíveis redutores;Ferro e aço;Emissão efetiva;Metalurgia;Rio de Janeiro;Mata Atlântica;4780336,06;4701839,26;5334809,53;4993961,91;4775961,36
Emissão;CO2e (t) GWP-AR6;Processos Industriais;Produção de metais;Produção de ferro gusa e aço;Consumo de combustíveis redutores;Ferro e aço;Emissão efetiva;Metalurgia;São Paulo;Mata Atlântica;1205,12;944,07;1231,28;1322,74;1158,95
Emissão;CO2e (t) GWP-AR6;Processos Industriais;Produção de metais;Produção de ferro gusa e aço;Consumo de combustíveis redutores;Ferro e aço;Emissão efetiva;Metalurgia;Espírito Santo;NA;0,00;0,00;0,00;0,00;0,00
Emissão;CO2e (t) GWP-AR6;Processos Industriais;Produção de metais;Produção de ferro gusa e aço;Consumo de combustíveis redutores;Ferro e aço;Emissão efetiva;Metalurgia;Minas Gerais;NA;6847503,03;7024831,48;9878167,18;9727847,34;9667974,74
Emissão;CO2e (t) GWP-AR6;Processos Industriais;Produção de metais;Produção de ferro gusa e aço;Consumo de combustíveis redutores;Ferro e aço;Emissão efetiva;Metalurgia;Rio de Janeiro;NA;855333,64;734144,76;906838,71;904725,32;766440,93
