Emissão/Remoção/Bunker;Gás;Setor de emissão;Categoria emissora;Sub-categoria emissora;Produto ou sistema;Detalhamento;Recorte;Atividade geral;Estado;Bioma;2019;2020;2021;2022;2023
Emissão;CO2e (t) GTP-AR6;Agropecuária;Cultivo de arroz;Cultivo em sistema irrigado inundado;Arroz;Vegetal;Diretas;Agricultura;Acre;Amazônia; -   ; -   ; -   ; -   ; -   
Emissão;CO2e (t) GTP-AR6;Agropecuária;Cultivo de arroz;Cultivo em sistema irrigado inundado;Arroz;Vegetal;Diretas;Agricultura;Amapá;Amazônia; -   ; -   ; -   ; -   ; -   
Emissão;CO2e (t) GTP-AR6;Agropecuária;Cultivo de arroz;Cultivo em sistema irrigado inundado;Arroz;Vegetal;Diretas;Agricultura;Amazonas;Amazônia; -   ; -   ; -   ; -   ; -   
Emissão;CO2e (t) GTP-AR6;Agropecuária;Cultivo de arroz;Cultivo em sistema irrigado inundado;Arroz;Vegetal;Diretas;Agricultura;Maranhão;Amazônia;618;601;545;670;887
Emissão;CO2e (t) GTP-AR6;Agropecuária;Cultivo de arroz;Cultivo em sistema irrigado inundado;Arroz;Vegetal;Diretas;Agricultura;Mato Grosso;Amazônia;3000;5389;6830;34930; -   
Emissão;CO2e (t) GTP-AR6;Agropecuária;Cultivo de arroz;Cultivo em sistema irrigado inundado;Arroz;Vegetal;Diretas;Agricultura;Pará;Amazônia; -   ; -   ; -   ; -   ;5454
Emissão;CO2e (t) GTP-AR6;Agropecuária;Cultivo de arroz;Cultivo em sistema irrigado inundado;Arroz;Vegetal;Diretas;Agricultura;Rondônia;Amazônia; -   ; -   ; -   ; -   ; -   
Emissão;CO2e (t) GTP-AR6;Agropecuária;Cultivo de arroz;Cultivo em sistema irrigado inundado;Arroz;Vegetal;Diretas;Agricultura;Roraima;Amazônia;10375;10389;10393;10392;15627
Emissão;CO2e (t) GTP-AR6;Agropecuária;Cultivo de arroz;Cultivo em sistema irrigado inundado;Arroz;Vegetal;Diretas;Agricultura;Tocantins;Amazônia;931;985;1010;1196;736
Emissão;CO2e (t) GTP-AR6;Agropecuária;Cultivo de arroz;Cultivo em sistema irrigado inundado;Arroz;Vegetal;Diretas;Agricultura;Alagoas;Caatinga;1740;1600;2250;1640;1359
Emissão;CO2e (t) GTP-AR6;Agropecuária;Cultivo de arroz;Cultivo em sistema irrigado inundado;Arroz;Vegetal;Diretas;Agricultura;Bahia;Caatinga; -   ; -   ; -   ; -   ; -   
Emissão;CO2e (t) GTP-AR6;Agropecuária;Cultivo de arroz;Cultivo em sistema irrigado inundado;Arroz;Vegetal;Diretas;Agricultura;Ceará;Caatinga;2387;2360;2757;2385;2584
Emissão;CO2e (t) GTP-AR6;Agropecuária;Cultivo de arroz;Cultivo em sistema irrigado inundado;Arroz;Vegetal;Diretas;Agricultura;Minas Gerais;Caatinga;22;29;31;35;47
Emissão;CO2e (t) GTP-AR6;Agropecuária;Cultivo de arroz;Cultivo em sistema irrigado inundado;Arroz;Vegetal;Diretas;Agricultura;Paraíba;Caatinga; -   ; -   ; -   ;83; -   
Emissão;CO2e (t) GTP-AR6;Agropecuária;Cultivo de arroz;Cultivo em sistema irrigado inundado;Arroz;Vegetal;Diretas;Agricultura;Pernambuco;Caatinga;591;708;1030;941;262
Emissão;CO2e (t) GTP-AR6;Agropecuária;Cultivo de arroz;Cultivo em sistema irrigado inundado;Arroz;Vegetal;Diretas;Agricultura;Piauí;Caatinga;433;360;344;398;367
Emissão;CO2e (t) GTP-AR6;Agropecuária;Cultivo de arroz;Cultivo em sistema irrigado inundado;Arroz;Vegetal;Diretas;Agricultura;Rio Grande do Norte;Caatinga;792;807;832;327;462
Emissão;CO2e (t) GTP-AR6;Agropecuária;Cultivo de arroz;Cultivo em sistema irrigado inundado;Arroz;Vegetal;Diretas;Agricultura;Sergipe;Caatinga;156;212;115;140;179
Emissão;CO2e (t) GTP-AR6;Agropecuária;Cultivo de arroz;Cultivo em sistema irrigado inundado;Arroz;Vegetal;Diretas;Agricultura;Bahia;Cerrado; -   ; -   ; -   ; -   ; -   
Emissão;CO2e (t) GTP-AR6;Agropecuária;Cultivo de arroz;Cultivo em sistema irrigado inundado;Arroz;Vegetal;Diretas;Agricultura;Distrito Federal;Cerrado; -   ; -   ; -   ; -   ; -   
Emissão;CO2e (t) GTP-AR6;Agropecuária;Cultivo de arroz;Cultivo em sistema irrigado inundado;Arroz;Vegetal;Diretas;Agricultura;Goiás;Cerrado;27082;26172;25967;23991;20661
Emissão;CO2e (t) GTP-AR6;Agropecuária;Cultivo de arroz;Cultivo em sistema irrigado inundado;Arroz;Vegetal;Diretas;Agricultura;Maranhão;Cerrado;2258;2383;2439;3045;3655
Emissão;CO2e (t) GTP-AR6;Agropecuária;Cultivo de arroz;Cultivo em sistema irrigado inundado;Arroz;Vegetal;Diretas;Agricultura;Mato Grosso;Cerrado;896;1697;2149;7322; -   
Emissão;CO2e (t) GTP-AR6;Agropecuária;Cultivo de arroz;Cultivo em sistema irrigado inundado;Arroz;Vegetal;Diretas;Agricultura;Mato Grosso do Sul;Cerrado;6719;6647;6936;6469;4448
Emissão;CO2e (t) GTP-AR6;Agropecuária;Cultivo de arroz;Cultivo em sistema irrigado inundado;Arroz;Vegetal;Diretas;Agricultura;Minas Gerais;Cerrado;306;339;458;560;865
Emissão;CO2e (t) GTP-AR6;Agropecuária;Cultivo de arroz;Cultivo em sistema irrigado inundado;Arroz;Vegetal;Diretas;Agricultura;Pará;Cerrado; -   ; -   ; -   ; -   ;18
Emissão;CO2e (t) GTP-AR6;Agropecuária;Cultivo de arroz;Cultivo em sistema irrigado inundado;Arroz;Vegetal;Diretas;Agricultura;Paraná;Cerrado;24;27;28;28;29
Emissão;CO2e (t) GTP-AR6;Agropecuária;Cultivo de arroz;Cultivo em sistema irrigado inundado;Arroz;Vegetal;Diretas;Agricultura;Piauí;Cerrado;4406;4503;4465;4355;4474
Emissão;CO2e (t) GTP-AR6;Agropecuária;Cultivo de arroz;Cultivo em sistema irrigado inundado;Arroz;Vegetal;Diretas;Agricultura;Rondônia;Cerrado; -   ; -   ; -   ; -   ; -   
Emissão;CO2e (t) GTP-AR6;Agropecuária;Cultivo de arroz;Cultivo em sistema irrigado inundado;Arroz;Vegetal;Diretas;Agricultura;São Paulo;Cerrado;265;240;46;153;223
Emissão;CO2e (t) GTP-AR6;Agropecuária;Cultivo de arroz;Cultivo em sistema irrigado inundado;Arroz;Vegetal;Diretas;Agricultura;Tocantins;Cerrado;142419;158214;160690;148441;122713
Emissão;CO2e (t) GTP-AR6;Agropecuária;Cultivo de arroz;Cultivo em sistema irrigado inundado;Arroz;Vegetal;Diretas;Agricultura;Alagoas;Mata Atlântica;1978;1330;2126;1527;1170
Emissão;CO2e (t) GTP-AR6;Agropecuária;Cultivo de arroz;Cultivo em sistema irrigado inundado;Arroz;Vegetal;Diretas;Agricultura;Bahia;Mata Atlântica; -   ; -   ; -   ; -   ; -   
Emissão;CO2e (t) GTP-AR6;Agropecuária;Cultivo de arroz;Cultivo em sistema irrigado inundado;Arroz;Vegetal;Diretas;Agricultura;Espírito Santo;Mata Atlântica;91;86;93;93; -   
Emissão;CO2e (t) GTP-AR6;Agropecuária;Cultivo de arroz;Cultivo em sistema irrigado inundado;Arroz;Vegetal;Diretas;Agricultura;Goiás;Mata Atlântica;6;12;14;8;6
Emissão;CO2e (t) GTP-AR6;Agropecuária;Cultivo de arroz;Cultivo em sistema irrigado inundado;Arroz;Vegetal;Diretas;Agricultura;Mato Grosso do Sul;Mata Atlântica;3976;3807;5433;5481;4371
